id,company,last_name,first_name,email_address,job_title,business_phone,home_phone,mobile_phone,fax_number,address,city,state_province,zip_postal_code,country_region,web_page,notes,attachments
1,Supplier A,Andersen,Elizabeth A.,,Sales Manager,,,,,,,,,,,,
2,Supplier B,Weiler,Cornelia,,Sales Manager,,,,,,,,,,,,
5,Supplier E,Hernandez-Echevarria,Amaya,,Sales Manager,,,,,,,,,,,,
9,Supplier I,Sandberg,Mikael,,Sales Manager,,,,,,,,,,,,
10,Supplier J,Sousa,Luis,,Sales Manager,,,,,,,,,,,,
4,Supplier D,Sato,Naoki,,Marketing Manager,,,,,,,,,,,,
7,Supplier G,Glasson,Stuart,,Marketing Manager,,,,,,,,,,,,
6,Supplier F,Hayakawa,Satomi,,Marketing Assistant,,,,,,,,,,,,
3,Supplier C,Kelley,Madeleine,,Sales Representative,,,,,,,,,,,,
8,Supplier H,Dunton,Bryn Paul,,Sales Representative,,,,,,,,,,,,
